id,category,input
"001","Housing and moving","Should I live near campus or save money by renting farther away?"
"002","Housing and moving","Is a $1,500 apartment near work worth it compared with a $1,100 apartment farther away?"
"003","Housing and moving","Should I rent a studio or share a two-bedroom apartment?"
"004","Housing and moving","Should I stay in my dorm or move off campus next semester?"
"005","Housing and moving","Is a furnished apartment worth an extra $150 a month?"
"006","Housing and moving","Should I renew my lease or move somewhere cheaper?"
"007","Housing and moving","Which apartment should I choose if I have a cat and need a commute under 30 minutes?"
"008","Housing and moving","Should I pay more to live alone if I work from home?"
"009","Housing and moving","Should I choose the cheaper apartment without laundry or the pricier one with a washer?"
"010","Housing and moving","Should I choose the dorm, a shared apartment, or a studio?"
"011","Commuting and transportation","Should I take the bus or drive to campus?"
"012","Commuting and transportation","Is a $90 monthly transit pass worth it if each ride costs $2.50?"
"013","Commuting and transportation","Should I bike to work or keep taking the subway?"
"014","Commuting and transportation","Is saving 20 minutes each way worth paying $100 more per month for parking?"
"015","Commuting and transportation","Should I buy a used bike or keep renting shared bikes?"
"016","Commuting and transportation","Should I carpool with a coworker or drive alone?"
"017","Commuting and transportation","Should I walk to class or pay for the campus shuttle?"
"018","Commuting and transportation","Should I keep my parking permit if I only drive to campus twice a week?"
"019","Commuting and transportation","Should I commute by bus, train, or bike?"
"020","Commuting and transportation","Should I pay per ride or get a transit pass for my three-month internship?"
"021","Food, drinks, and groceries","Should I cook dinner at home or order takeout?"
"022","Food, drinks, and groceries","Is a meal kit worth it if I hate grocery shopping?"
"023","Food, drinks, and groceries","Should I buy a campus meal plan or pay for each meal?"
"024","Food, drinks, and groceries","Should I buy a coffee machine or keep buying coffee on campus?"
"025","Food, drinks, and groceries","Is a $240 coffee machine worth it if I buy a $4 coffee every weekday?"
"026","Food, drinks, and groceries","Should I meal prep on Sundays or buy lunch at work?"
"027","Food, drinks, and groceries","Should I shop at the nearby grocery store or drive to a cheaper one?"
"028","Food, drinks, and groceries","Is grocery delivery worth $15 a week to save me an hour?"
